über Inkar Generiert     
2013_Beschäftigt_Fachkraft  Inkar Karten Indikator --> "Beschäftigte mit Anforderungsniveau Fachkraft"   Zeitbezug -->2013  --> Werteklassen --> Anzahl 7  45,50,55,60,65,70 | Farbpalette --> M 
2019_Beschäftigt_Fachkraft  Inkar Karten  Indikator --> "Beschäftigte mit Anforderungsniveau Fachkraft"   Zeitbezug -->2019 --> Werteklassen --> Anzahl 7  45,50,55,60,65,70 | Farbpalette --> M 
2023_Beschäftigt_Fachkraft/alt_2023_Beschäftigt_Fachkraft  Inkar Karten Indikator --> "Beschäftigte mit Anforderungsniveau Fachkraft"   Zeitbezug -->2023  --> Werteklassen --> Anzahl 7  45,50,55,60,65,70 | Farbpalette --> M 
2019_Beschäftigt_Spezialist  Inkar Karten Indikator --> "Beschäftigte mit Anforderungsniveau Spezialist"   Zeitbezug -->  --> Werteklassen -->2019 Anzahl 7  4,8,12,16,16,20 |  Farbpalette --> N 
2023_Beschäftigt_Spezialist/alt_2023_Beschäftigt_Spezialist  Inkar Karten Indikator --> "Beschäftigte mit Anforderungsniveau Spezialist"   Zeitbezug -->  --> Werteklassen -->2023 Anzahl 7  4,8,12,16,16,20 | Farbpalette -->  N

Gif Headmape Serie Historie Inkar Daten --> Neue Karten Serie 
H_Beschäftigt_Fachkraft Indikator --> "Beschäftigte mit Anforderungsniveau Fachkraft"    --> Werteklassen --> Anzahl 7  45,50,55,60,65,70 | Farbpalette --> M
H_Beschäftigt_Spezialist Indikator --> "Beschäftigte mit Anforderungsniveau Fachkraft"    --> Werteklassen --> Anzahl 7  4,8,12,16,16,20 | Farbpalette -->  N


Kennziffer;Raumeinheit;Aggregat;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Helfer;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Fachkraft;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Spezialist;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte;Beschäftigte mit Anforderungsniveau Experte
;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09361";"Amberg";"Kreise";"11,05";"8,67";"9,22";"11,11";"7,98";"9,87";"9,74";"8,83";"10,55";"13,76";"16,10";"15,47";"13,29";"19,07";"20,48";"20,51";"66,30";"72,67";"66,02";"66,34";"70,25";"66,45";"67,21";"71,79";"69,49";"69,17";"64,42";"66,98";"67,05";"58,95";"61,45";"61,33";"13,26";"10,00";"10,68";"9,80";"12,88";"13,82";"10,71";"11,40";"10,65";"8,81";"11,96";"9,66";"11,37";"13,54";"10,24";"10,31";"8,84";"8,00";"14,56";"13,07";"8,90";"10,20";"12,34";"7,98";"9,31";"8,26";"7,52";"7,89";"8,29";"8,44";"7,83";"7,87";"11,11";"11,20";"12,75";"12,80";"13,49";"13,98";"13,53";"12,63";"13,94";"14,31";"14,92";"63,31";"63,29";"60,10";"59,86";"58,90";"58,29";"58,48";"59,34";"59,05";"59,26";"58,52";"13,92";"14,08";"14,18";"14,19";"14,47";"14,21";"14,15";"13,91";"13,27";"12,69";"12,55";"9,70";"9,93";"11,57";"11,79";"11,88";"12,34";"12,65";"12,98";"12,60";"12,72";"12,96"
"09362";"Regensburg, Stadt";"Kreise";"14,34";"9,73";"16,63";"19,16";"17,69";"18,01";"15,80";"17,81";"18,57";"19,00";"18,06";"14,81";"14,56";"15,77";"18,05";"18,24";"69,91";"73,41";"67,36";"64,18";"66,26";"65,13";"67,81";"66,67";"64,77";"63,48";"61,47";"63,83";"65,80";"61,91";"56,81";"58,48";"8,82";"7,91";"8,79";"8,67";"8,55";"9,31";"9,59";"8,11";"7,32";"7,89";"9,10";"11,24";"10,70";"12,91";"11,67";"11,39";"6,02";"7,91";"6,38";"7,58";"7,44";"7,48";"6,80";"7,42";"9,35";"9,67";"11,38";"10,12";"8,94";"9,41";"13,47";"11,90";"13,81";"14,40";"14,98";"16,08";"16,18";"15,97";"14,56";"13,80";"14,64";"15,14";"15,10";"55,69";"55,29";"54,75";"53,72";"53,10";"52,56";"52,99";"53,27";"52,10";"50,90";"50,01";"13,23";"13,23";"13,16";"13,28";"13,62";"13,82";"13,98";"13,95";"14,23";"14,30";"14,69";"16,53";"16,71";"16,93";"16,76";"16,97";"17,53";"18,37";"18,86";"18,91";"19,56";"20,10"
"09363";"Weiden i.d.OPf.";"Kreise";"13,71";"9,28";"15,07";"14,41";"7,96";"12,01";"10,62";"9,35";"10,53";"13,71";"13,66";"12,62";"14,52";"22,54";"21,82";"19,60";"66,89";"75,77";"66,21";"68,01";"70,13";"70,10";"66,74";"64,89";"66,57";"67,27";"67,77";"66,98";"65,05";"59,19";"62,27";"62,42";"8,70";"8,76";"10,96";"11,24";"11,73";"9,80";"11,78";"14,69";"12,97";"10,77";"10,48";"11,10";"9,01";"10,56";"9,36";"11,23";"7,69";"6,70";"7,76";"6,34";"10,18";"8,33";"11,09";"11,07";"9,93";"8,25";"8,22";"9,30";"11,56";"7,59";"6,55";"6,76";"17,49";"18,36";"18,80";"19,31";"19,23";"19,25";"19,56";"19,11";"20,50";"21,72";"21,29";"63,00";"62,67";"61,73";"61,49";"61,32";"60,97";"60,40";"60,40";"58,85";"57,36";"56,96";"10,27";"10,23";"10,54";"10,55";"10,69";"10,89";"11,04";"11,18";"11,21";"11,39";"11,73";"8,34";"8,26";"8,73";"8,52";"8,69";"8,80";"8,92";"9,18";"9,31";"9,40";"9,92"
"09371";"Amberg-Sulzbach";"Kreise";"11,63";"11,80";"15,91";"17,56";"12,12";"18,18";"17,65";"17,63";"16,62";"21,25";"20,41";"17,76";"20,53";"25,85";"23,52";"22,28";"72,09";"69,57";"67,27";"67,86";"70,25";"67,71";"62,57";"66,60";"67,03";"63,17";"63,30";"68,48";"67,81";"60,05";"61,99";"62,64";"9,30";"9,32";"9,09";"10,42";"11,85";"7,84";"10,70";"8,30";"7,41";"7,57";"7,53";"7,50";"7,02";"9,82";"10,39";"10,58";"6,51";"9,32";"7,27";"4,46";"5,79";"6,58";"9,09";"7,47";"8,94";"8,15";"8,87";"6,27";"4,50";"4,29";"4,10";"4,52";"16,87";"17,99";"18,27";"18,13";"18,87";"19,60";"19,36";"18,64";"19,40";"20,06";"20,04";"64,25";"63,63";"62,98";"63,04";"62,11";"61,35";"61,63";"62,15";"60,81";"59,39";"58,93";"11,31";"11,11";"11,10";"11,12";"11,09";"11,10";"10,99";"10,93";"11,12";"12,04";"12,47";"6,20";"6,20";"6,63";"6,65";"6,90";"6,91";"7,02";"7,27";"7,69";"7,58";"7,62"
"09372";"Cham";"Kreise";"14,56";"17,21";"19,68";"16,45";"11,71";"11,73";"15,73";"16,68";"16,88";"18,95";"19,08";"22,04";"21,93";"24,78";"28,17";"24,26";"69,32";"69,67";"64,40";"68,03";"69,70";"72,45";"68,29";"67,23";"66,80";"65,01";"65,73";"63,13";"62,53";"57,52";"54,64";"55,80";"9,51";"8,47";"8,77";"8,42";"11,29";"9,82";"9,49";"10,96";"10,30";"10,21";"9,67";"9,46";"9,98";"10,88";"10,57";"12,94";"6,21";"4,64";"6,62";"7,11";"7,16";"5,99";"6,49";"5,23";"6,02";"5,83";"5,52";"5,37";"5,57";"6,82";"6,62";"7,01";"15,96";"16,39";"17,28";"17,77";"18,34";"18,46";"17,69";"16,97";"17,36";"18,43";"18,84";"66,56";"66,50";"66,08";"65,31";"64,46";"64,08";"64,39";"64,49";"63,90";"62,13";"61,44";"10,08";"10,10";"10,65";"10,75";"11,02";"11,17";"11,02";"11,31";"11,47";"12,12";"12,21";"5,69";"5,66";"5,53";"5,67";"5,68";"5,80";"6,40";"6,70";"6,76";"6,82";"6,99"
"09373";"Neumarkt i.d.OPf.";"Kreise";"13,49";"11,07";"21,22";"19,63";"14,06";"11,55";"23,51";"11,78";"13,13";"17,77";"17,55";"13,75";"14,65";"24,91";"18,86";"15,97";"69,79";"70,47";"58,69";"57,98";"53,44";"67,84";"60,55";"66,06";"63,83";"59,13";"63,38";"70,88";"68,51";"56,93";"63,01";"65,56";"12,02";"10,07";"9,03";"8,81";"8,20";"10,10";"9,02";"9,82";"10,09";"10,10";"9,04";"8,77";"9,42";"10,53";"9,90";"11,81";"3,81";"8,39";"10,84";"13,21";"24,45";"10,52";"6,92";"12,20";"12,95";"13,01";"10,12";"6,60";"7,42";"7,62";"8,24";"6,67";"13,51";"13,63";"13,97";"14,28";"14,55";"14,93";"14,89";"14,87";"15,12";"15,30";"15,20";"65,83";"65,77";"65,95";"65,53";"65,00";"64,42";"64,51";"64,55";"64,43";"63,29";"62,88";"12,15";"12,29";"12,27";"12,19";"12,12";"12,29";"12,14";"12,09";"12,00";"12,76";"13,07";"7,01";"7,15";"7,31";"7,48";"7,84";"7,88";"7,99";"8,03";"8,02";"8,22";"8,43"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"12,26";"14,72";"19,61";"22,40";"13,62";"16,53";"14,60";"18,80";"18,63";"21,26";"21,95";"18,87";"20,02";"25,60";"24,40";"23,10";"73,18";"74,85";"66,67";"64,35";"70,72";"66,67";"67,48";"63,69";"65,00";"62,97";"61,13";"63,51";"60,87";"52,11";"57,65";"59,34";"7,66";"6,75";"8,82";"7,89";"8,41";"8,27";"8,85";"8,94";"8,65";"7,94";"9,64";"9,73";"10,53";"13,12";"9,84";"9,75";"3,07";"3,68";"3,43";"4,73";"7,25";"8,53";"9,29";"8,58";"7,71";"7,94";"7,28";"7,89";"8,58";"9,17";"8,05";"7,81";"16,22";"15,89";"15,73";"16,25";"17,32";"17,87";"18,09";"17,63";"17,25";"17,63";"18,14";"63,40";"63,82";"63,92";"63,53";"62,55";"62,00";"61,73";"61,84";"62,13";"61,56";"60,86";"11,40";"11,63";"11,51";"11,44";"11,34";"11,31";"11,25";"11,54";"11,55";"11,77";"11,88";"7,19";"7,15";"7,16";"7,08";"7,11";"7,14";"7,35";"7,44";"7,58";"7,59";"7,71"
"09375";"Regensburg";"Kreise";"18,47";"18,97";"19,80";"18,89";"19,64";"15,88";"17,73";"18,49";"19,56";"22,21";"19,35";"20,95";"20,14";"19,87";"20,02";"20,82";"69,30";"67,93";"68,08";"66,94";"66,63";"66,62";"66,33";"66,28";"64,63";"63,98";"67,77";"66,18";"67,40";"63,14";"63,12";"62,41";"8,15";"8,97";"7,68";"9,04";"8,05";"10,68";"9,95";"9,20";"9,67";"9,20";"9,64";"9,74";"9,28";"12,71";"11,89";"12,09";"3,36";"4,14";"4,04";"4,72";"5,68";"6,97";"5,99";"6,03";"6,14";"4,67";"3,24";"3,12";"3,18";"4,28";"4,96";"4,61";"14,45";"14,95";"15,66";"16,48";"17,00";"17,90";"18,27";"17,89";"18,48";"19,85";"20,73";"63,76";"63,50";"62,56";"61,77";"61,62";"60,78";"60,39";"60,84";"60,29";"58,78";"57,69";"12,92";"13,09";"13,23";"13,16";"12,99";"12,98";"12,87";"12,76";"12,64";"12,73";"12,69";"7,17";"7,13";"7,28";"7,38";"7,24";"7,22";"7,40";"7,42";"7,52";"7,59";"7,88"
"09376";"Schwandorf";"Kreise";"16,16";"12,61";"16,86";"19,96";"17,29";"17,35";"19,88";"17,77";"21,48";"23,17";"23,25";"20,76";"21,19";"25,64";"27,00";"25,75";"68,58";"67,79";"65,43";"64,19";"65,73";"67,66";"65,41";"67,60";"64,33";"63,55";"63,75";"64,04";"62,59";"56,30";"56,35";"57,70";"8,62";"12,89";"9,11";"7,66";"10,14";"9,96";"9,74";"9,83";"9,15";"8,33";"8,55";"9,57";"10,75";"12,51";"10,84";"10,87";"6,28";"6,72";"8,26";"7,87";"6,63";"5,13";"4,87";"4,88";"5,02";"4,95";"4,49";"5,63";"5,47";"5,50";"5,81";"5,66";"16,83";"17,77";"18,55";"18,62";"19,10";"19,63";"19,21";"18,54";"19,31";"19,58";"20,18";"65,66";"65,03";"64,81";"64,35";"63,65";"63,27";"63,45";"63,50";"62,70";"62,07";"61,35";"9,82";"9,67";"9,55";"9,70";"9,77";"9,69";"9,78";"10,01";"10,01";"10,25";"10,28";"5,97";"6,14";"6,13";"6,37";"6,58";"6,54";"6,69";"7,06";"7,12";"7,27";"7,37"
