Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft
;;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2008;2009;2010;2011;2012;2013;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09361";"Amberg";"Kreise";"11,24";"10,66";"9,48";"9,43";"10,41";"11,92";"11,92";"13,68";"12,26";"9,46";"7,72";"9,01";"8,02";"5,96";"5,75";"6,10";"5,89";"5,63";"5,89";"5,29";"4,40";"4,23";"5,35";"4,68";"4,22";"4,79";"43,81";"46,37";"47,29";"47,07";"48,60";"50,08";"49,74";"49,51";"49,85";"48,48";"54,33";"56,69";"58,86";"58,56";"3,45";"3,61";"3,51";"2,93";"3,03";"3,46";"3,53";"3,27";"3,99";"4,51";"4,49";"3,95";"3,30";"4,13";"3,83";"4,20";"3,97";"3,51";"3,25";"2,85";"2,87";"3,59";"4,63";"4,70";"4,09";"4,58";"4,70";"4,83";"8,84";"8,00";"14,56";"13,07";"8,90";"10,20";"49,89";"47,92";"48,37";"47,83";"46,14";"46,53";"46,62";"48,79";"47,88";"47,00";"45,42";"47,40";"47,35";"51,15";"55,05";"44,90";"44,83";"43,33";"44,56";"42,69";"40,31";"41,15";"42,40";"40,28";"39,63";"33,86";"31,72";"29,93";"29,50"
"09362";"Regensburg, Stadt";"Kreise";"10,52";"9,48";"8,47";"8,11";"8,40";"8,84";"8,79";"9,72";"8,94";"7,16";"6,25";"7,20";"6,00";"4,85";"4,46";"4,70";"4,42";"4,16";"3,69";"3,29";"3,19";"3,40";"4,38";"4,32";"3,81";"4,12";"38,51";"39,95";"41,20";"39,43";"39,43";"40,47";"40,80";"40,17";"41,28";"42,16";"44,34";"47,37";"44,97";"43,10";"8,46";"9,16";"9,41";"10,80";"10,48";"11,27";"11,55";"12,22";"11,51";"11,34";"10,92";"10,28";"9,87";"10,83";"4,98";"4,93";"5,14";"5,32";"5,76";"5,62";"5,86";"5,61";"5,61";"6,07";"6,37";"6,61";"6,08";"6,39";"6,02";"7,91";"6,38";"7,58";"7,44";"7,48";"51,04";"49,92";"48,13";"47,88";"44,67";"43,61";"43,66";"45,84";"46,35";"46,01";"45,57";"45,25";"46,78";"47,19";"45,28";"40,59";"38,74";"39,22";"38,96";"38,74";"37,29";"36,20";"36,45";"36,53";"35,62";"32,99";"30,40";"25,64";"23,74"
"09363";"Weiden i.d.OPf.";"Kreise";"9,21";"9,08";"8,23";"8,22";"8,92";"10,39";"10,41";"14,99";"12,54";"10,95";"7,51";"8,50";"8,37";"7,92";"7,03";"7,00";"7,06";"7,17";"6,61";"6,11";"5,18";"5,15";"5,73";"5,12";"4,69";"5,52";"51,15";"54,04";"53,61";"51,77";"51,98";"53,77";"53,90";"53,02";"53,71";"52,67";"60,91";"63,34";"61,26";"62,27";"2,62";"2,59";"2,51";"2,55";"3,09";"2,60";"2,73";"3,79";"3,77";"3,94";"4,17";"3,93";"3,69";"3,94";"3,10";"2,70";"2,95";"3,54";"3,34";"3,38";"2,99";"2,59";"3,19";"3,59";"3,81";"3,85";"4,32";"4,09";"7,69";"6,70";"7,76";"6,34";"10,18";"8,33";"49,33";"48,51";"49,73";"50,53";"49,16";"48,95";"49,31";"52,79";"53,30";"53,38";"53,53";"52,78";"53,68";"53,60";"52,73";"39,75";"37,24";"37,85";"39,85";"38,57";"36,93";"35,97";"36,68";"37,09";"37,88";"29,06";"26,10";"24,14";"24,02"
"09371";"Amberg-Sulzbach";"Kreise";"7,49";"6,98";"6,28";"6,17";"6,73";"8,02";"8,40";"9,46";"7,92";"5,83";"4,30";"4,93";"4,47";"3,54";"3,07";"3,20";"3,17";"2,91";"2,91";"2,71";"2,42";"2,33";"2,92";"2,73";"2,59";"3,02";"36,62";"38,01";"37,49";"36,55";"37,99";"37,87";"36,78";"37,02";"38,36";"37,56";"44,66";"47,95";"53,16";"54,32";"3,40";"3,75";"3,33";"3,87";"4,06";"4,64";"4,04";"4,63";"5,85";"5,35";"5,14";"5,02";"4,68";"4,74";"4,58";"4,44";"4,86";"5,15";"4,98";"4,76";"5,91";"5,38";"5,31";"6,09";"5,71";"6,36";"5,66";"5,57";"6,51";"9,32";"7,27";"4,46";"5,79";"6,58";"34,04";"33,25";"34,46";"34,61";"32,52";"33,66";"32,53";"35,56";"35,65";"37,10";"36,14";"36,84";"38,47";"43,98";"46,57";"50,62";"50,04";"50,71";"50,19";"47,35";"46,92";"49,12";"50,72";"48,08";"47,98";"40,61";"37,00";"33,12";"31,92"
"09372";"Cham";"Kreise";"7,97";"7,38";"6,43";"6,28";"6,99";"8,24";"8,13";"8,74";"7,01";"4,97";"4,09";"4,82";"3,97";"3,21";"3,19";"3,50";"3,32";"3,02";"3,07";"2,69";"2,51";"2,51";"3,16";"2,85";"2,73";"2,94";"31,07";"31,62";"32,92";"35,02";"33,58";"34,40";"36,36";"35,68";"34,60";"34,70";"43,24";"47,62";"47,50";"48,36";"2,16";"2,39";"2,15";"2,32";"2,88";"2,72";"2,75";"3,39";"3,79";"3,52";"3,35";"3,67";"3,40";"3,74";"4,33";"4,70";"4,34";"4,40";"4,69";"4,78";"4,54";"4,43";"4,11";"4,41";"4,89";"5,24";"4,80";"4,44";"6,21";"4,64";"6,62";"7,11";"7,16";"5,99";"31,93";"30,71";"29,63";"31,14";"32,61";"31,38";"32,10";"36,22";"35,36";"34,38";"33,51";"33,38";"35,90";"40,41";"39,76";"55,47";"54,75";"54,20";"51,20";"51,87";"49,67";"47,18";"49,27";"49,67";"49,47";"42,90";"39,14";"38,41";"35,78"
"09373";"Neumarkt i.d.OPf.";"Kreise";"6,72";"6,52";"5,56";"5,47";"6,01";"6,82";"6,65";"6,93";"5,93";"4,18";"2,99";"3,31";"2,90";"2,18";"2,17";"2,40";"2,23";"2,06";"2,01";"1,88";"1,69";"1,74";"2,22";"2,13";"1,97";"2,41";"33,88";"33,45";"36,66";"35,08";"32,90";"35,57";"35,01";"33,97";"33,70";"34,41";"43,31";"45,89";"49,48";"52,39";"4,65";"4,84";"4,20";"5,58";"6,36";"6,52";"7,33";"7,26";"8,22";"7,22";"7,29";"7,45";"6,20";"6,04";"7,40";"7,17";"6,64";"6,73";"6,85";"6,45";"7,26";"7,55";"6,75";"7,84";"8,04";"8,64";"6,85";"6,77";"3,81";"8,39";"10,84";"13,21";"24,45";"10,52";"35,99";"32,95";"30,00";"32,13";"30,59";"30,16";"31,85";"31,85";"31,05";"31,40";"31,14";"31,65";"34,56";"40,50";"45,14";"50,07";"48,25";"51,12";"51,24";"52,27";"49,73";"48,99";"50,00";"50,45";"49,86";"40,55";"37,13";"33,20";"30,76"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"6,63";"6,26";"5,58";"5,62";"6,11";"7,23";"7,31";"8,62";"7,54";"5,84";"4,25";"5,21";"4,69";"3,99";"3,98";"4,10";"3,90";"3,82";"3,56";"3,28";"2,91";"2,83";"3,31";"3,04";"2,94";"3,31";"40,50";"43,09";"41,49";"40,58";"40,87";"41,21";"41,19";"40,40";"42,25";"41,48";"52,49";"55,11";"57,21";"58,18";"2,67";"2,79";"3,03";"3,18";"3,82";"3,27";"3,14";"3,35";"3,74";"4,03";"4,43";"4,41";"4,28";"4,12";"3,81";"3,93";"3,55";"3,78";"3,82";"4,00";"3,83";"4,32";"4,84";"4,82";"4,87";"5,44";"5,41";"5,23";"3,07";"3,68";"3,43";"4,73";"7,25";"8,53";"38,52";"37,82";"38,87";"37,65";"38,26";"38,91";"39,60";"42,24";"43,24";"42,05";"41,43";"40,14";"40,66";"45,56";"44,43";"48,44";"47,69";"47,63";"49,18";"47,80";"47,12";"45,70";"45,68";"46,17";"47,48";"35,77";"31,84";"25,93";"26,11"
"09375";"Regensburg";"Kreise";"6,50";"5,85";"5,07";"4,91";"5,07";"5,47";"5,40";"5,88";"5,07";"3,69";"2,71";"3,58";"3,04";"2,25";"2,26";"2,60";"2,44";"2,20";"2,04";"1,86";"1,76";"1,92";"2,60";"2,61";"2,36";"2,45";"27,66";"30,06";"33,66";"34,74";"34,87";"36,28";"35,92";"34,70";"34,63";"35,98";"39,91";"43,68";"43,29";"49,71";"5,42";"6,28";"6,37";"6,24";"6,79";"7,54";"7,77";"7,92";"8,87";"7,79";"8,46";"8,57";"8,39";"8,25";"7,07";"6,76";"6,20";"6,20";"6,10";"6,36";"6,60";"7,23";"7,40";"7,07";"8,02";"7,96";"7,90";"7,82";"3,36";"4,14";"4,04";"4,72";"5,68";"6,97";"34,26";"33,01";"33,61";"34,21";"34,77";"34,10";"33,88";"36,19";"35,19";"35,71";"35,33";"34,45";"36,29";"42,80";"43,82";"49,60";"48,34";"48,87";"47,88";"47,07";"46,57";"47,33";"48,68";"47,88";"47,83";"41,56";"38,74";"31,62";"30,86"
"09376";"Schwandorf";"Kreise";"6,91";"6,23";"5,38";"5,38";"5,93";"6,87";"6,76";"7,89";"6,97";"5,51";"4,25";"4,86";"4,01";"3,27";"3,31";"3,50";"3,29";"3,35";"3,28";"2,79";"2,53";"2,80";"3,42";"3,08";"2,86";"3,05";"40,13";"41,92";"44,20";"44,56";"44,37";"46,13";"46,92";"47,78";"45,54";"46,72";"53,52";"57,03";"55,50";"55,08";"2,58";"2,29";"2,54";"3,02";"2,93";"2,88";"3,25";"3,49";"3,51";"3,33";"3,62";"3,21";"4,00";"4,28";"3,72";"3,80";"4,07";"4,31";"4,31";"3,87";"4,06";"4,22";"4,57";"4,08";"4,87";"5,19";"5,42";"5,85";"6,28";"6,72";"8,26";"7,87";"6,63";"5,13";"39,80";"38,10";"38,53";"39,05";"38,27";"38,48";"40,01";"42,42";"41,24";"40,72";"41,04";"40,97";"43,35";"46,60";"46,08";"45,48";"43,90";"42,62";"42,72";"42,46";"41,06";"40,32";"39,60";"41,55";"40,02";"33,32";"30,90";"29,43";"27,99"
