Kennziffer;Raumeinheit;Aggregat;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist
;;;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023
"09361";"Amberg";"Kreise";"58,86";"58,56";"29,93";"29,50";"3,30";"4,13";"4,70";"4,83";"20,48";"20,51";"61,45";"61,33";"7,83";"7,87";"10,24";"10,31"
"09362";"Regensburg, Stadt";"Kreise";"44,97";"43,10";"25,64";"23,74";"9,87";"10,83";"6,08";"6,39";"18,05";"18,24";"56,81";"58,48";"13,47";"11,90";"11,67";"11,39"
"09363";"Weiden i.d.OPf.";"Kreise";"61,26";"62,27";"24,14";"24,02";"3,69";"3,94";"4,32";"4,09";"21,82";"19,60";"62,27";"62,42";"6,55";"6,76";"9,36";"11,23"
"09371";"Amberg-Sulzbach";"Kreise";"53,16";"54,32";"33,12";"31,92";"4,68";"4,74";"5,66";"5,57";"23,52";"22,28";"61,99";"62,64";"4,10";"4,52";"10,39";"10,58"
"09372";"Cham";"Kreise";"47,50";"48,36";"38,41";"35,78";"3,40";"3,74";"4,80";"4,44";"28,17";"24,26";"54,64";"55,80";"6,62";"7,01";"10,57";"12,94"
"09373";"Neumarkt i.d.OPf.";"Kreise";"49,48";"52,39";"33,20";"30,76";"6,20";"6,04";"6,85";"6,77";"18,86";"15,97";"63,01";"65,56";"8,24";"6,67";"9,90";"11,81"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"57,21";"58,18";"25,93";"26,11";"4,28";"4,12";"5,41";"5,23";"24,40";"23,10";"57,65";"59,34";"8,05";"7,81";"9,84";"9,75"
"09375";"Regensburg";"Kreise";"43,29";"49,71";"31,62";"30,86";"8,39";"8,25";"7,90";"7,82";"20,02";"20,82";"63,12";"62,41";"4,96";"4,61";"11,89";"12,09"
"09376";"Schwandorf";"Kreise";"55,50";"55,08";"29,43";"27,99";"4,00";"4,28";"5,42";"5,85";"27,00";"25,75";"56,35";"57,70";"5,81";"5,66";"10,84";"10,87"
"09377";"Tirschenreuth";"Kreise";"47,60";"45,69";"28,11";"27,56";"3,00";"3,17";"4,42";"4,51";"21,56";"22,49";"66,54";"64,32";"4,59";"5,44";"7,40";"7,78"
"09461";"Bamberg, Stadt";"Kreise";"48,13";"47,48";"27,29";"28,28";"12,07";"12,20";"5,79";"6,47";"21,91";"17,70";"53,23";"55,54";"12,51";"13,57";"12,35";"13,18"
"09462";"Bayreuth, Stadt";"Kreise";"52,83";"57,18";"27,55";"26,32";"8,14";"8,35";"5,60";"5,86";"24,67";"21,68";"53,54";"55,46";"11,43";"11,22";"10,36";"11,65"
"09463";"Coburg, Stadt";"Kreise";"56,46";"56,86";"27,35";"27,98";"7,34";"7,89";"5,66";"4,99";"23,57";"26,89";"46,07";"50,69";"12,13";"11,17";"18,23";"11,34"
"09464";"Hof, Stadt";"Kreise";"66,72";"67,37";"25,94";"25,72";"3,37";"2,87";"3,30";"3,28";"21,27";"16,55";"54,31";"54,71";"14,50";"18,38";"9,84";"10,24"
"09471";"Bamberg";"Kreise";"44,44";"45,66";"34,64";"32,83";"5,85";"6,73";"9,61";"8,73";"24,82";"21,70";"61,12";"62,48";"4,03";"4,39";"10,08";"11,40"
"09472";"Bayreuth";"Kreise";"47,56";"50,63";"30,95";"32,17";"5,67";"5,22";"6,93";"6,59";"24,61";"24,18";"61,35";"59,85";"3,99";"4,61";"9,98";"11,39"
"09473";"Coburg";"Kreise";"49,19";"51,11";"33,21";"32,27";"5,33";"5,63";"6,34";"6,55";"31,29";"29,29";"53,41";"56,36";"5,30";"5,17";"10,00";"9,12"
"09474";"Forchheim";"Kreise";"49,23";"50,70";"29,88";"29,60";"8,71";"7,85";"8,05";"8,00";"24,05";"19,41";"57,30";"60,64";"8,13";"8,50";"10,53";"11,52"
